x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
17.500,12790,1571.671,666,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
18.000,10883,1019.680,436,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
18.500,8790,661.555,271,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
19.000,7477,429.208,175,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
19.500,6378,278.465,114,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
20.000,5538,180.664,78,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
20.500,4729,117.213,49,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
21.000,4117,76.046,26,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
21.500,3519,49.338,15,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
22.000,3034,32.010,9,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
22.500,2681,20.767,6,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
23.000,2377,13.474,5,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
23.500,2126,8.742,5,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
24.000,1936,5.671,4,false,0.8653012180630112,0.018010881503590537,0.4499970535423192,0.5108115744279745,database,shuffled-dipeptide,2,8,200,71748,4586050,0.5
