x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
5.000,230322400,314763241.092,227957151,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
5.500,182243690,205682500.818,179306757,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
6.000,126632444,134403531.352,123703504,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
6.500,85619535,87826184.377,82873267,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
7.000,57098098,57390148.790,54620982,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
7.500,37728903,37501676.767,35579384,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
8.000,24753954,24505525.599,22925345,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
8.500,16158195,16013171.588,14637749,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
9.000,10502098,10463830.423,9263190,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
9.500,6815870,6837605.313,5819698,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
10.000,4425160,4468043.204,3631894,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
10.500,2890251,2919649.375,2256881,true,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
11.000,1898107,1907849.159,1398561,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
11.500,1260329,1246686.827,866060,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
12.000,846684,814649.333,536917,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
12.500,577201,532333.799,332129,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
13.000,397895,347854.301,204020,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
13.500,279650,227305.902,126096,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
14.000,198902,148533.375,77251,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
14.500,144384,97059.351,47722,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
15.000,106063,63423.575,29357,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
15.500,79280,41444.228,18241,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
16.000,60430,27081.792,11359,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
16.500,46704,17696.636,7210,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
17.000,36945,11563.893,4611,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
17.500,29536,7556.443,2836,false,0.8509740379534156,0.01593319053045027,0.44336428731283206,0.5131153862277995,database,shuffled-dipeptide,2,8,200,78421,17746615,0.5
